active_cases,country,critical_cases,new_cases,new_deaths,total_cases,total_deaths,total_recovered
2,Nicaragua,None,None,None,2,,None
2,Sint Maarten,None,None,None,2,,None
1,Belize,None,None,None,1,,None
1,Eritrea,None,None,None,1,,None
1,Grenada,None,None,None,1,,None
1,Libya,None,+1,None,1,,None
1,Montserrat,None,None,None,1,,None
1,Papua New Guinea,None,None,None,1,,None
1,St. Vincent Grenadines,None,None,None,1,,None
1,Somalia,None,None,None,1,,None
1,Syria,None,None,None,1,,None
1,Timor-Leste,None,None,None,1,,None
1,Turks and Caicos,None,None,None,1,,None
"294,215",Total:,"13,269","42,568","2,296","421,413","18,810","108,388"
